utterance,intent,category,tags,intent_label
i'm not sure how to: grafana alert kuralları örneği?,grafana_alert_rules,,,
what's the correct way to grafana alert kuralları örneği??,grafana_alert_rules,,,
any idea how i should handle: grafana alert kuralları örneği??,grafana_alert_rules,,,
step-by-step for: grafana alert kuralları örneği??,grafana_alert_rules,,,
grafana alert kuralları örneği?,grafana_alert_rules,,,
can you help me with: json ile alert rule tanımlamak mümkün mü??,grafana_alert_rules,,,
i'm not sure how to: json ile alert rule tanımlamak mümkün mü?,grafana_alert_rules,,,
what's the correct way to json ile alert rule tanımlamak mümkün mü??,grafana_alert_rules,,,
any idea how i should handle: json ile alert rule tanımlamak mümkün mü??,grafana_alert_rules,,,
step-by-step for: json ile alert rule tanımlamak mümkün mü??,grafana_alert_rules,,,
json ile alert rule tanımlamak mümkün mü?,grafana_alert_rules,,,
can you help me with: grafana threshold ayarı nasıl yapılır??,grafana_alert_rules,,,
i'm not sure how to: grafana threshold ayarı nasıl yapılır?,grafana_alert_rules,,,
what's the correct way to grafana threshold ayarı nasıl yapılır??,grafana_alert_rules,,,
any idea how i should handle: grafana threshold ayarı nasıl yapılır??,grafana_alert_rules,,,
step-by-step for: grafana threshold ayarı nasıl yapılır??,grafana_alert_rules,,,
grafana threshold ayarı nasıl yapılır?,grafana_alert_rules,,,
can you help me with: grafana'da uyarı kurmak??,grafana_alert_rules,,,
i'm not sure how to: grafana'da uyarı kurmak?,grafana_alert_rules,,,
what's the correct way to grafana'da uyarı kurmak??,grafana_alert_rules,,,
any idea how i should handle: grafana'da uyarı kurmak??,grafana_alert_rules,,,
step-by-step for: grafana'da uyarı kurmak??,grafana_alert_rules,,,
grafana'da uyarı kurmak?,grafana_alert_rules,,,
can you help me with: prometheus ile grafana alert nasıl yapılır??,grafana_alert_rules,,,
i'm not sure how to: prometheus ile grafana alert nasıl yapılır?,grafana_alert_rules,,,
what's the correct way to prometheus ile grafana alert nasıl yapılır??,grafana_alert_rules,,,
any idea how i should handle: prometheus ile grafana alert nasıl yapılır??,grafana_alert_rules,,,
step-by-step for: prometheus ile grafana alert nasıl yapılır??,grafana_alert_rules,,,
prometheus ile grafana alert nasıl yapılır?,grafana_alert_rules,,,
can you help me with: critical alert in grafana nasıl olur??,grafana_alert_rules,,,
i'm not sure how to: critical alert in grafana nasıl olur?,grafana_alert_rules,,,
what's the correct way to critical alert in grafana nasıl olur??,grafana_alert_rules,,,
any idea how i should handle: critical alert in grafana nasıl olur??,grafana_alert_rules,,,
step-by-step for: critical alert in grafana nasıl olur??,grafana_alert_rules,,,
critical alert in grafana nasıl olur?,grafana_alert_rules,,,
can you help me with: alerting pipeline in grafana??,grafana_alert_rules,,,
i'm not sure how to: alerting pipeline in grafana?,grafana_alert_rules,,,
what's the correct way to alerting pipeline in grafana??,grafana_alert_rules,,,
any idea how i should handle: alerting pipeline in grafana??,grafana_alert_rules,,,
step-by-step for: alerting pipeline in grafana??,grafana_alert_rules,,,
alerting pipeline in grafana?,grafana_alert_rules,,,
can you help me with: how to set up a reverse proxy in nginx??,nginx_reverse_proxy,,,
i'm not sure how to: how to set up a reverse proxy in nginx?,nginx_reverse_proxy,,,
what's the correct way to how to set up a reverse proxy in nginx??,nginx_reverse_proxy,,,
any idea how i should handle: how to set up a reverse proxy in nginx??,nginx_reverse_proxy,,,
step-by-step for: how to set up a reverse proxy in nginx??,nginx_reverse_proxy,,,
how to set up a reverse proxy in nginx?,nginx_reverse_proxy,,,
can you help me with: reverse proxy config for nginx??,nginx_reverse_proxy,,,
i'm not sure how to: reverse proxy config for nginx?,nginx_reverse_proxy,,,
what's the correct way to reverse proxy config for nginx??,nginx_reverse_proxy,,,
any idea how i should handle: reverse proxy config for nginx??,nginx_reverse_proxy,,,
step-by-step for: reverse proxy config for nginx??,nginx_reverse_proxy,,,
reverse proxy config for nginx?,nginx_reverse_proxy,,,
can you help me with: proxy_pass usage in nginx??,nginx_reverse_proxy,,,
i'm not sure how to: proxy_pass usage in nginx?,nginx_reverse_proxy,,,
what's the correct way to proxy_pass usage in nginx??,nginx_reverse_proxy,,,
any idea how i should handle: proxy_pass usage in nginx??,nginx_reverse_proxy,,,
step-by-step for: proxy_pass usage in nginx??,nginx_reverse_proxy,,,
proxy_pass usage in nginx?,nginx_reverse_proxy,,,
can you help me with: nginx proxy cache nasıl yapılır??,nginx_reverse_proxy,,,
i'm not sure how to: nginx proxy cache nasıl yapılır?,nginx_reverse_proxy,,,
what's the correct way to nginx proxy cache nasıl yapılır??,nginx_reverse_proxy,,,
any idea how i should handle: nginx proxy cache nasıl yapılır??,nginx_reverse_proxy,,,
step-by-step for: nginx proxy cache nasıl yapılır??,nginx_reverse_proxy,,,
nginx proxy cache nasıl yapılır?,nginx_reverse_proxy,,,
can you help me with: nginx ile backend yönlendirme??,nginx_reverse_proxy,,,
i'm not sure how to: nginx ile backend yönlendirme?,nginx_reverse_proxy,,,
what's the correct way to nginx ile backend yönlendirme??,nginx_reverse_proxy,,,
any idea how i should handle: nginx ile backend yönlendirme??,nginx_reverse_proxy,,,
step-by-step for: nginx ile backend yönlendirme??,nginx_reverse_proxy,,,
nginx ile backend yönlendirme?,nginx_reverse_proxy,,,
can you help me with: how to check disk i/o in linux??,disk_io_troubleshooting,,,
i'm not sure how to: how to check disk i/o in linux?,disk_io_troubleshooting,,,
what's the correct way to how to check disk i/o in linux??,disk_io_troubleshooting,,,
any idea how i should handle: how to check disk i/o in linux??,disk_io_troubleshooting,,,
step-by-step for: how to check disk i/o in linux??,disk_io_troubleshooting,,,
how to check disk i/o in linux?,disk_io_troubleshooting,,,
can you help me with: disk bottleneck nasıl anlaşılır??,disk_io_troubleshooting,,,
i'm not sure how to: disk bottleneck nasıl anlaşılır?,disk_io_troubleshooting,,,
what's the correct way to disk bottleneck nasıl anlaşılır??,disk_io_troubleshooting,,,
any idea how i should handle: disk bottleneck nasıl anlaşılır??,disk_io_troubleshooting,,,
step-by-step for: disk bottleneck nasıl anlaşılır??,disk_io_troubleshooting,,,
disk bottleneck nasıl anlaşılır?,disk_io_troubleshooting,,,
can you help me with: disk yavaşsa neye bakılır??,disk_io_troubleshooting,,,
i'm not sure how to: disk yavaşsa neye bakılır?,disk_io_troubleshooting,,,
what's the correct way to disk yavaşsa neye bakılır??,disk_io_troubleshooting,,,
any idea how i should handle: disk yavaşsa neye bakılır??,disk_io_troubleshooting,,,
step-by-step for: disk yavaşsa neye bakılır??,disk_io_troubleshooting,,,
disk yavaşsa neye bakılır?,disk_io_troubleshooting,,,
can you help me with: iostat çıktısı nasıl yorumlanır??,disk_io_troubleshooting,,,
i'm not sure how to: iostat çıktısı nasıl yorumlanır?,disk_io_troubleshooting,,,
what's the correct way to iostat çıktısı nasıl yorumlanır??,disk_io_troubleshooting,,,
any idea how i should handle: iostat çıktısı nasıl yorumlanır??,disk_io_troubleshooting,,,
step-by-step for: iostat çıktısı nasıl yorumlanır??,disk_io_troubleshooting,,,
iostat çıktısı nasıl yorumlanır?,disk_io_troubleshooting,,,
can you help me with: iotop nasıl kullanılır??,disk_io_troubleshooting,,,
i'm not sure how to: iotop nasıl kullanılır?,disk_io_troubleshooting,,,
what's the correct way to iotop nasıl kullanılır??,disk_io_troubleshooting,,,
any idea how i should handle: iotop nasıl kullanılır??,disk_io_troubleshooting,,,
step-by-step for: iotop nasıl kullanılır??,disk_io_troubleshooting,,,
iotop nasıl kullanılır?,disk_io_troubleshooting,,,
can you help me with: inventory dosyası nasıl olur??,ansible_playbook_run,,,
i'm not sure how to: inventory dosyası nasıl olur?,ansible_playbook_run,,,
what's the correct way to inventory dosyası nasıl olur??,ansible_playbook_run,,,
any idea how i should handle: inventory dosyası nasıl olur??,ansible_playbook_run,,,
step-by-step for: inventory dosyası nasıl olur??,ansible_playbook_run,,,
inventory dosyası nasıl olur?,ansible_playbook_run,,,
can you help me with: how to run an ansible playbook??,ansible_playbook_run,,,
i'm not sure how to: how to run an ansible playbook?,ansible_playbook_run,,,
what's the correct way to how to run an ansible playbook??,ansible_playbook_run,,,
any idea how i should handle: how to run an ansible playbook??,ansible_playbook_run,,,
step-by-step for: how to run an ansible playbook??,ansible_playbook_run,,,
how to run an ansible playbook?,ansible_playbook_run,,,
can you help me with: ansible playbook yazımı nasıldır??,ansible_playbook_run,,,
i'm not sure how to: ansible playbook yazımı nasıldır?,ansible_playbook_run,,,
what's the correct way to ansible playbook yazımı nasıldır??,ansible_playbook_run,,,
any idea how i should handle: ansible playbook yazımı nasıldır??,ansible_playbook_run,,,
step-by-step for: ansible playbook yazımı nasıldır??,ansible_playbook_run,,,
ansible playbook yazımı nasıldır?,ansible_playbook_run,,,
can you help me with: ansible ile servis restart??,ansible_playbook_run,,,
i'm not sure how to: ansible ile servis restart?,ansible_playbook_run,,,
what's the correct way to ansible ile servis restart??,ansible_playbook_run,,,
any idea how i should handle: ansible ile servis restart??,ansible_playbook_run,,,
step-by-step for: ansible ile servis restart??,ansible_playbook_run,,,
ansible ile servis restart?,ansible_playbook_run,,,
can you help me with: ad-hoc komut nedir ansible’da??,ansible_playbook_run,,,
i'm not sure how to: ad-hoc komut nedir ansible’da?,ansible_playbook_run,,,
what's the correct way to ad-hoc komut nedir ansible’da??,ansible_playbook_run,,,
any idea how i should handle: ad-hoc komut nedir ansible’da??,ansible_playbook_run,,,
step-by-step for: ad-hoc komut nedir ansible’da??,ansible_playbook_run,,,
ad-hoc komut nedir ansible’da?,ansible_playbook_run,,,
can you help me with: ss komutu nasıl kullanılır??,tcp_port_check,,,
i'm not sure how to: ss komutu nasıl kullanılır?,tcp_port_check,,,
what's the correct way to ss komutu nasıl kullanılır??,tcp_port_check,,,
any idea how i should handle: ss komutu nasıl kullanılır??,tcp_port_check,,,
step-by-step for: ss komutu nasıl kullanılır??,tcp_port_check,,,
ss komutu nasıl kullanılır?,tcp_port_check,,,
can you help me with: netstat ile port kontrol??,tcp_port_check,,,
i'm not sure how to: netstat ile port kontrol?,tcp_port_check,,,
what's the correct way to netstat ile port kontrol??,tcp_port_check,,,
any idea how i should handle: netstat ile port kontrol??,tcp_port_check,,,
step-by-step for: netstat ile port kontrol??,tcp_port_check,,,
netstat ile port kontrol?,tcp_port_check,,,
can you help me with: port dinleniyor mu??,tcp_port_check,,,
i'm not sure how to: port dinleniyor mu?,tcp_port_check,,,
what's the correct way to port dinleniyor mu??,tcp_port_check,,,
any idea how i should handle: port dinleniyor mu??,tcp_port_check,,,
step-by-step for: port dinleniyor mu??,tcp_port_check,,,
port dinleniyor mu?,tcp_port_check,,,
can you help me with: how to check if a port is open??,tcp_port_check,,,
i'm not sure how to: how to check if a port is open?,tcp_port_check,,,
what's the correct way to how to check if a port is open??,tcp_port_check,,,
any idea how i should handle: how to check if a port is open??,tcp_port_check,,,
step-by-step for: how to check if a port is open??,tcp_port_check,,,
how to check if a port is open?,tcp_port_check,,,
can you help me with: nc ile port test etmek??,tcp_port_check,,,
i'm not sure how to: nc ile port test etmek?,tcp_port_check,,,
what's the correct way to nc ile port test etmek??,tcp_port_check,,,
any idea how i should handle: nc ile port test etmek??,tcp_port_check,,,
step-by-step for: nc ile port test etmek??,tcp_port_check,,,
nc ile port test etmek?,tcp_port_check,,,
can you help me with: how do i extend an lvm volume??,lvm_extend_volume,,,
i'm not sure how to: how do i extend an lvm volume?,lvm_extend_volume,,,
what's the correct way to how do i extend an lvm volume??,lvm_extend_volume,,,
any idea how i should handle: how do i extend an lvm volume??,lvm_extend_volume,,,
step-by-step for: how do i extend an lvm volume??,lvm_extend_volume,,,
how do i extend an lvm volume?,lvm_extend_volume,,,
can you help me with: can i resize an lvm partition??,lvm_extend_volume,,,
i'm not sure how to: can i resize an lvm partition?,lvm_extend_volume,,,
what's the correct way to can i resize an lvm partition??,lvm_extend_volume,,,
any idea how i should handle: can i resize an lvm partition??,lvm_extend_volume,,,
step-by-step for: can i resize an lvm partition??,lvm_extend_volume,,,
can i resize an lvm partition?,lvm_extend_volume,,,
can you help me with: what's the command to grow a logical volume??,lvm_extend_volume,,,
i'm not sure how to: what's the command to grow a logical volume?,lvm_extend_volume,,,
what's the correct way to what's the command to grow a logical volume??,lvm_extend_volume,,,
any idea how i should handle: what's the command to grow a logical volume??,lvm_extend_volume,,,
step-by-step for: what's the command to grow a logical volume??,lvm_extend_volume,,,
what's the command to grow a logical volume?,lvm_extend_volume,,,
can you help me with: how to increase lvm size on linux??,lvm_extend_volume,,,
i'm not sure how to: how to increase lvm size on linux?,lvm_extend_volume,,,
what's the correct way to how to increase lvm size on linux??,lvm_extend_volume,,,
any idea how i should handle: how to increase lvm size on linux??,lvm_extend_volume,,,
step-by-step for: how to increase lvm size on linux??,lvm_extend_volume,,,
how to increase lvm size on linux?,lvm_extend_volume,,,
can you help me with: extend an existing lvm – how??,lvm_extend_volume,,,
i'm not sure how to: extend an existing lvm – how?,lvm_extend_volume,,,
what's the correct way to extend an existing lvm – how??,lvm_extend_volume,,,
any idea how i should handle: extend an existing lvm – how??,lvm_extend_volume,,,
step-by-step for: extend an existing lvm – how??,lvm_extend_volume,,,
extend an existing lvm – how?,lvm_extend_volume,,,
"can you help me with: i need to grow my lvm volume, how??",lvm_extend_volume,,,
"i'm not sure how to: i need to grow my lvm volume, how?",lvm_extend_volume,,,
"what's the correct way to i need to grow my lvm volume, how??",lvm_extend_volume,,,
"any idea how i should handle: i need to grow my lvm volume, how??",lvm_extend_volume,,,
"step-by-step for: i need to grow my lvm volume, how??",lvm_extend_volume,,,
"i need to grow my lvm volume, how?",lvm_extend_volume,,,
can you help me with: steps to expand lvm partition??,lvm_extend_volume,,,
i'm not sure how to: steps to expand lvm partition?,lvm_extend_volume,,,
what's the correct way to steps to expand lvm partition??,lvm_extend_volume,,,
any idea how i should handle: steps to expand lvm partition??,lvm_extend_volume,,,
step-by-step for: steps to expand lvm partition??,lvm_extend_volume,,,
steps to expand lvm partition?,lvm_extend_volume,,,
can you help me with: resize lvm logical volume safely??,lvm_extend_volume,,,
i'm not sure how to: resize lvm logical volume safely?,lvm_extend_volume,,,
what's the correct way to resize lvm logical volume safely??,lvm_extend_volume,,,
any idea how i should handle: resize lvm logical volume safely??,lvm_extend_volume,,,
step-by-step for: resize lvm logical volume safely??,lvm_extend_volume,,,
resize lvm logical volume safely?,lvm_extend_volume,,,
can you help me with: best way to extend root lvm??,lvm_extend_volume,,,
i'm not sure how to: best way to extend root lvm?,lvm_extend_volume,,,
what's the correct way to best way to extend root lvm??,lvm_extend_volume,,,
any idea how i should handle: best way to extend root lvm??,lvm_extend_volume,,,
step-by-step for: best way to extend root lvm??,lvm_extend_volume,,,
best way to extend root lvm?,lvm_extend_volume,,,
can you help me with: lvm volume expansion guide??,lvm_extend_volume,,,
i'm not sure how to: lvm volume expansion guide?,lvm_extend_volume,,,
what's the correct way to lvm volume expansion guide??,lvm_extend_volume,,,
any idea how i should handle: lvm volume expansion guide??,lvm_extend_volume,,,
step-by-step for: lvm volume expansion guide??,lvm_extend_volume,,,
lvm volume expansion guide?,lvm_extend_volume,,,
can you help me with: command to add space to lvm??,lvm_extend_volume,,,
i'm not sure how to: command to add space to lvm?,lvm_extend_volume,,,
what's the correct way to command to add space to lvm??,lvm_extend_volume,,,
any idea how i should handle: command to add space to lvm??,lvm_extend_volume,,,
step-by-step for: command to add space to lvm??,lvm_extend_volume,,,
command to add space to lvm?,lvm_extend_volume,,,
can you help me with: grow lvm without reboot??,lvm_extend_volume,,,
i'm not sure how to: grow lvm without reboot?,lvm_extend_volume,,,
what's the correct way to grow lvm without reboot??,lvm_extend_volume,,,
any idea how i should handle: grow lvm without reboot??,lvm_extend_volume,,,
step-by-step for: grow lvm without reboot??,lvm_extend_volume,,,
grow lvm without reboot?,lvm_extend_volume,,,
can you help me with: online lvm expansion steps??,lvm_extend_volume,,,
i'm not sure how to: online lvm expansion steps?,lvm_extend_volume,,,
what's the correct way to online lvm expansion steps??,lvm_extend_volume,,,
any idea how i should handle: online lvm expansion steps??,lvm_extend_volume,,,
step-by-step for: online lvm expansion steps??,lvm_extend_volume,,,
online lvm expansion steps?,lvm_extend_volume,,,
can you help me with: lvextend nasıl yapılır??,lvm_extend_volume,,,
i'm not sure how to: lvextend nasıl yapılır?,lvm_extend_volume,,,
what's the correct way to lvextend nasıl yapılır??,lvm_extend_volume,,,
any idea how i should handle: lvextend nasıl yapılır??,lvm_extend_volume,,,
step-by-step for: lvextend nasıl yapılır??,lvm_extend_volume,,,
lvextend nasıl yapılır?,lvm_extend_volume,,,
"can you help me with: lvm genişletmek istiyorum, nasıl olur??",lvm_extend_volume,,,
"i'm not sure how to: lvm genişletmek istiyorum, nasıl olur?",lvm_extend_volume,,,
"what's the correct way to lvm genişletmek istiyorum, nasıl olur??",lvm_extend_volume,,,
"any idea how i should handle: lvm genişletmek istiyorum, nasıl olur??",lvm_extend_volume,,,
"step-by-step for: lvm genişletmek istiyorum, nasıl olur??",lvm_extend_volume,,,
"lvm genişletmek istiyorum, nasıl olur?",lvm_extend_volume,,,
can you help me with: dockerfile ile imaj nasıl oluşturulur??,docker_image_build,,,
i'm not sure how to: dockerfile ile imaj nasıl oluşturulur?,docker_image_build,,,
what's the correct way to dockerfile ile imaj nasıl oluşturulur??,docker_image_build,,,
any idea how i should handle: dockerfile ile imaj nasıl oluşturulur??,docker_image_build,,,
step-by-step for: dockerfile ile imaj nasıl oluşturulur??,docker_image_build,,,
dockerfile ile imaj nasıl oluşturulur?,docker_image_build,,,
can you help me with: how do i build a docker image??,docker_image_build,,,
i'm not sure how to: how do i build a docker image?,docker_image_build,,,
what's the correct way to how do i build a docker image??,docker_image_build,,,
any idea how i should handle: how do i build a docker image??,docker_image_build,,,
step-by-step for: how do i build a docker image??,docker_image_build,,,
how do i build a docker image?,docker_image_build,,,
can you help me with: image tag nasıl verilir??,docker_image_build,,,
i'm not sure how to: image tag nasıl verilir?,docker_image_build,,,
what's the correct way to image tag nasıl verilir??,docker_image_build,,,
any idea how i should handle: image tag nasıl verilir??,docker_image_build,,,
step-by-step for: image tag nasıl verilir??,docker_image_build,,,
image tag nasıl verilir?,docker_image_build,,,
can you help me with: docker build ne işe yarar??,docker_image_build,,,
i'm not sure how to: docker build ne işe yarar?,docker_image_build,,,
what's the correct way to docker build ne işe yarar??,docker_image_build,,,
any idea how i should handle: docker build ne işe yarar??,docker_image_build,,,
step-by-step for: docker build ne işe yarar??,docker_image_build,,,
docker build ne işe yarar?,docker_image_build,,,
can you help me with: docker build context nedir??,docker_image_build,,,
i'm not sure how to: docker build context nedir?,docker_image_build,,,
what's the correct way to docker build context nedir??,docker_image_build,,,
any idea how i should handle: docker build context nedir??,docker_image_build,,,
step-by-step for: docker build context nedir??,docker_image_build,,,
docker build context nedir?,docker_image_build,,,
can you help me with: how do i kill a process in linux??,linux_process_kill,,,
i'm not sure how to: how do i kill a process in linux?,linux_process_kill,,,
what's the correct way to how do i kill a process in linux??,linux_process_kill,,,
any idea how i should handle: how do i kill a process in linux??,linux_process_kill,,,
step-by-step for: how do i kill a process in linux??,linux_process_kill,,,
how do i kill a process in linux?,linux_process_kill,,,
can you help me with: what is the kill command??,linux_process_kill,,,
i'm not sure how to: what is the kill command?,linux_process_kill,,,
what's the correct way to what is the kill command??,linux_process_kill,,,
any idea how i should handle: what is the kill command??,linux_process_kill,,,
step-by-step for: what is the kill command??,linux_process_kill,,,
what is the kill command?,linux_process_kill,,,
can you help me with: force stop a process in linux??,linux_process_kill,,,
i'm not sure how to: force stop a process in linux?,linux_process_kill,,,
what's the correct way to force stop a process in linux??,linux_process_kill,,,
any idea how i should handle: force stop a process in linux??,linux_process_kill,,,
step-by-step for: force stop a process in linux??,linux_process_kill,,,
force stop a process in linux?,linux_process_kill,,,
can you help me with: how to end a frozen program??,linux_process_kill,,,
i'm not sure how to: how to end a frozen program?,linux_process_kill,,,
what's the correct way to how to end a frozen program??,linux_process_kill,,,
any idea how i should handle: how to end a frozen program??,linux_process_kill,,,
step-by-step for: how to end a frozen program??,linux_process_kill,,,
how to end a frozen program?,linux_process_kill,,,
can you help me with: terminate process by pid??,linux_process_kill,,,
i'm not sure how to: terminate process by pid?,linux_process_kill,,,
what's the correct way to terminate process by pid??,linux_process_kill,,,
any idea how i should handle: terminate process by pid??,linux_process_kill,,,
step-by-step for: terminate process by pid??,linux_process_kill,,,
terminate process by pid?,linux_process_kill,,,
can you help me with: what does kill -9 do??,linux_process_kill,,,
i'm not sure how to: what does kill -9 do?,linux_process_kill,,,
what's the correct way to what does kill -9 do??,linux_process_kill,,,
any idea how i should handle: what does kill -9 do??,linux_process_kill,,,
step-by-step for: what does kill -9 do??,linux_process_kill,,,
what does kill -9 do?,linux_process_kill,,,
can you help me with: how to kill all processes with a name??,linux_process_kill,,,
i'm not sure how to: how to kill all processes with a name?,linux_process_kill,,,
what's the correct way to how to kill all processes with a name??,linux_process_kill,,,
any idea how i should handle: how to kill all processes with a name??,linux_process_kill,,,
step-by-step for: how to kill all processes with a name??,linux_process_kill,,,
how to kill all processes with a name?,linux_process_kill,,,
can you help me with: stop a background task in linux??,linux_process_kill,,,
i'm not sure how to: stop a background task in linux?,linux_process_kill,,,
what's the correct way to stop a background task in linux??,linux_process_kill,,,
any idea how i should handle: stop a background task in linux??,linux_process_kill,,,
step-by-step for: stop a background task in linux??,linux_process_kill,,,
stop a background task in linux?,linux_process_kill,,,
can you help me with: how to send sigterm??,linux_process_kill,,,
i'm not sure how to: how to send sigterm?,linux_process_kill,,,
what's the correct way to how to send sigterm??,linux_process_kill,,,
any idea how i should handle: how to send sigterm??,linux_process_kill,,,
step-by-step for: how to send sigterm??,linux_process_kill,,,
how to send sigterm?,linux_process_kill,,,
can you help me with: kill using htop??,linux_process_kill,,,
i'm not sure how to: kill using htop?,linux_process_kill,,,
what's the correct way to kill using htop??,linux_process_kill,,,
any idea how i should handle: kill using htop??,linux_process_kill,,,
step-by-step for: kill using htop??,linux_process_kill,,,
kill using htop?,linux_process_kill,,,
can you help me with: linux’ta çalışan uygulamayı durdurmak??,linux_process_kill,,,
i'm not sure how to: linux’ta çalışan uygulamayı durdurmak?,linux_process_kill,,,
what's the correct way to linux’ta çalışan uygulamayı durdurmak??,linux_process_kill,,,
any idea how i should handle: linux’ta çalışan uygulamayı durdurmak??,linux_process_kill,,,
step-by-step for: linux’ta çalışan uygulamayı durdurmak??,linux_process_kill,,,
linux’ta çalışan uygulamayı durdurmak?,linux_process_kill,,,
can you help me with: proses nasıl sonlandırılır??,linux_process_kill,,,
i'm not sure how to: proses nasıl sonlandırılır?,linux_process_kill,,,
what's the correct way to proses nasıl sonlandırılır??,linux_process_kill,,,
any idea how i should handle: proses nasıl sonlandırılır??,linux_process_kill,,,
step-by-step for: proses nasıl sonlandırılır??,linux_process_kill,,,
proses nasıl sonlandırılır?,linux_process_kill,,,
can you help me with: terminalde işlem sonlandırmak nasıl olur??,linux_process_kill,,,
i'm not sure how to: terminalde işlem sonlandırmak nasıl olur?,linux_process_kill,,,
what's the correct way to terminalde işlem sonlandırmak nasıl olur??,linux_process_kill,,,
any idea how i should handle: terminalde işlem sonlandırmak nasıl olur??,linux_process_kill,,,
step-by-step for: terminalde işlem sonlandırmak nasıl olur??,linux_process_kill,,,
terminalde işlem sonlandırmak nasıl olur?,linux_process_kill,,,
can you help me with: ps ile işlem bulup kill nasıl yapılır??,linux_process_kill,,,
i'm not sure how to: ps ile işlem bulup kill nasıl yapılır?,linux_process_kill,,,
what's the correct way to ps ile işlem bulup kill nasıl yapılır??,linux_process_kill,,,
any idea how i should handle: ps ile işlem bulup kill nasıl yapılır??,linux_process_kill,,,
step-by-step for: ps ile işlem bulup kill nasıl yapılır??,linux_process_kill,,,
ps ile işlem bulup kill nasıl yapılır?,linux_process_kill,,,
can you help me with: en hızlı kill komutu nedir??,linux_process_kill,,,
i'm not sure how to: en hızlı kill komutu nedir?,linux_process_kill,,,
what's the correct way to en hızlı kill komutu nedir??,linux_process_kill,,,
any idea how i should handle: en hızlı kill komutu nedir??,linux_process_kill,,,
step-by-step for: en hızlı kill komutu nedir??,linux_process_kill,,,
en hızlı kill komutu nedir?,linux_process_kill,,,
can you help me with: elasticsearch nedir??,log_analyze_elasticsearch,,,
i'm not sure how to: elasticsearch nedir?,log_analyze_elasticsearch,,,
what's the correct way to elasticsearch nedir??,log_analyze_elasticsearch,,,
any idea how i should handle: elasticsearch nedir??,log_analyze_elasticsearch,,,
step-by-step for: elasticsearch nedir??,log_analyze_elasticsearch,,,
elasticsearch nedir?,log_analyze_elasticsearch,,,
can you help me with: how to search logs in elasticsearch??,log_analyze_elasticsearch,,,
i'm not sure how to: how to search logs in elasticsearch?,log_analyze_elasticsearch,,,
what's the correct way to how to search logs in elasticsearch??,log_analyze_elasticsearch,,,
any idea how i should handle: how to search logs in elasticsearch??,log_analyze_elasticsearch,,,
step-by-step for: how to search logs in elasticsearch??,log_analyze_elasticsearch,,,
how to search logs in elasticsearch?,log_analyze_elasticsearch,,,
can you help me with: log analizi nasıl yapılır??,log_analyze_elasticsearch,,,
i'm not sure how to: log analizi nasıl yapılır?,log_analyze_elasticsearch,,,
what's the correct way to log analizi nasıl yapılır??,log_analyze_elasticsearch,,,
any idea how i should handle: log analizi nasıl yapılır??,log_analyze_elasticsearch,,,
step-by-step for: log analizi nasıl yapılır??,log_analyze_elasticsearch,,,
log analizi nasıl yapılır?,log_analyze_elasticsearch,,,
can you help me with: elasticsearch query örneği??,log_analyze_elasticsearch,,,
i'm not sure how to: elasticsearch query örneği?,log_analyze_elasticsearch,,,
what's the correct way to elasticsearch query örneği??,log_analyze_elasticsearch,,,
any idea how i should handle: elasticsearch query örneği??,log_analyze_elasticsearch,,,
step-by-step for: elasticsearch query örneği??,log_analyze_elasticsearch,,,
elasticsearch query örneği?,log_analyze_elasticsearch,,,
can you help me with: logları kibana ile nasıl incelerim??,log_analyze_elasticsearch,,,
i'm not sure how to: logları kibana ile nasıl incelerim?,log_analyze_elasticsearch,,,
what's the correct way to logları kibana ile nasıl incelerim??,log_analyze_elasticsearch,,,
any idea how i should handle: logları kibana ile nasıl incelerim??,log_analyze_elasticsearch,,,
step-by-step for: logları kibana ile nasıl incelerim??,log_analyze_elasticsearch,,,
logları kibana ile nasıl incelerim?,log_analyze_elasticsearch,,,
can you help me with: how do i configure apache logs??,apache_logging_config,,,
i'm not sure how to: how do i configure apache logs?,apache_logging_config,,,
what's the correct way to how do i configure apache logs??,apache_logging_config,,,
any idea how i should handle: how do i configure apache logs??,apache_logging_config,,,
step-by-step for: how do i configure apache logs??,apache_logging_config,,,
how do i configure apache logs?,apache_logging_config,,,
can you help me with: apache log format nerede tanımlı??,apache_logging_config,,,
i'm not sure how to: apache log format nerede tanımlı?,apache_logging_config,,,
what's the correct way to apache log format nerede tanımlı??,apache_logging_config,,,
any idea how i should handle: apache log format nerede tanımlı??,apache_logging_config,,,
step-by-step for: apache log format nerede tanımlı??,apache_logging_config,,,
apache log format nerede tanımlı?,apache_logging_config,,,
can you help me with: change access log path in apache??,apache_logging_config,,,
i'm not sure how to: change access log path in apache?,apache_logging_config,,,
what's the correct way to change access log path in apache??,apache_logging_config,,,
any idea how i should handle: change access log path in apache??,apache_logging_config,,,
step-by-step for: change access log path in apache??,apache_logging_config,,,
change access log path in apache?,apache_logging_config,,,
can you help me with: apache error log ayarı??,apache_logging_config,,,
i'm not sure how to: apache error log ayarı?,apache_logging_config,,,
what's the correct way to apache error log ayarı??,apache_logging_config,,,
any idea how i should handle: apache error log ayarı??,apache_logging_config,,,
step-by-step for: apache error log ayarı??,apache_logging_config,,,
apache error log ayarı?,apache_logging_config,,,
can you help me with: loglevel nedir apache??,apache_logging_config,,,
i'm not sure how to: loglevel nedir apache?,apache_logging_config,,,
